"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Bound",,"InHost",,,,"0.0.0.0++49918++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:05:49","0.0.0.0","49918","6252","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49916++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:05:49","0.0.0.0","49916","6252","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49884++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:05:16","0.0.0.0","49884","6252","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49854++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:52","0.0.0.0","49854","10904","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49836++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:27","0.0.0.0","49836","12244","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49831++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:25","0.0.0.0","49831","12244","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49785++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:10","0.0.0.0","49785","11688","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49779++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:10","0.0.0.0","49779","11688","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49777++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:10","0.0.0.0","49777","12600","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49745++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:05","0.0.0.0","49745","7528","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49689++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:44","0.0.0.0","49689","3472","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49673++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:23","0.0.0.0","49673","3520","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++57621++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:09","0.0.0.0","57621","11688","0.0.0.0","0",
"Established","Internet","InHost",,,,"192.168.20.133++50693++20.191.46.109++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:09:38","192.168.20.133","50693","2896","20.191.46.109","443",
"Established","Internet","InHost",,,,"192.168.20.133++50691++20.42.73.153++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:09:24","192.168.20.133","50691","5912","20.42.73.153","443",
"Established","Internet","InHost",,,,"192.168.20.133++50688++162.125.19.9++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:09:01","192.168.20.133","50688","12244","162.125.19.9","443",
"Established","Internet","InHost",,,,"192.168.20.133++50684++52.168.112.67++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:08:14","192.168.20.133","50684","10904","52.168.112.67","443",
"TimeWait",,"InHost",,,,"192.168.20.133++50676++20.42.73.138++443",,,,,,,,,,,,"2",,,"5",,"12",,,"31/12/1600 22:00:00","192.168.20.133","50676","0","20.42.73.138","443",
"Established","Internet","InHost",,,,"192.168.20.133++50665++162.125.19.131++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:06:16","192.168.20.133","50665","12244","162.125.19.131","443",
"CloseWait","Internet","InHost",,,,"192.168.20.133++50660++142.250.79.10++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:05:35","192.168.20.133","50660","7528","142.250.79.10","443",
"CloseWait","Internet","InHost",,,,"192.168.20.133++50659++142.250.79.10++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:05:33","192.168.20.133","50659","7528","142.250.79.10","443",
"CloseWait","Internet","InHost",,,,"192.168.20.133++50640++35.186.224.19++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:04:10","192.168.20.133","50640","12600","35.186.224.19","443",
"Established","Internet","InHost",,,,"192.168.20.133++50533++35.199.0.9++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:46:46","192.168.20.133","50533","6252","35.199.0.9","443",
"Established","Internet","InHost",,,,"192.168.20.133++50508++140.82.112.25++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:42:20","192.168.20.133","50508","6252","140.82.112.25","443",
"Established","Internet","InHost",,,,"127.0.0.1++50449++127.0.0.1++50444",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:37:13","127.0.0.1","50449","2856","127.0.0.1","50444",
"Established","Internet","InHost",,,,"127.0.0.1++50445++127.0.0.1++50444",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:37:10","127.0.0.1","50445","2856","127.0.0.1","50444",
"Established","Internet","InHost",,,,"127.0.0.1++50444++127.0.0.1++50449",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:37:13","127.0.0.1","50444","5676","127.0.0.1","50449",
"Established","Internet","InHost",,,,"127.0.0.1++50444++127.0.0.1++50445",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:37:10","127.0.0.1","50444","5676","127.0.0.1","50445",
"Listen",,"InHost",,,,"127.0.0.1++50444++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:37:09","127.0.0.1","50444","5676","0.0.0.0","0",
"CloseWait","Internet","InHost",,,,"192.168.20.133++50408++96.16.72.8++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:33:42","192.168.20.133","50408","10572","96.16.72.8","443",
"CloseWait","Internet","InHost",,,,"192.168.20.133++50316++184.51.63.37++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:26:48","192.168.20.133","50316","8176","184.51.63.37","443",
"Established","Internet","InHost",,,,"192.168.20.133++50304++52.97.75.114++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:25:44","192.168.20.133","50304","8176","52.97.75.114","443",
"Established","Internet","InHost",,,,"192.168.20.133++49987++52.224.12.3++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:09:48","192.168.20.133","49987","10036","52.224.12.3","443",
"Established","Internet","InHost",,,,"192.168.20.133++49956++20.88.155.2++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:07:18","192.168.20.133","49956","10036","20.88.155.2","443",
"Established","Internet","InHost",,,,"192.168.20.133++49953++52.226.22.118++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:07:15","192.168.20.133","49953","10036","52.226.22.118","443",
"Established","Internet","InHost",,,,"192.168.20.133++49944++74.125.250.147++19305",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:07:06","192.168.20.133","49944","6252","74.125.250.147","19305",
"Established","Internet","InHost",,,,"192.168.20.133++49940++74.125.250.147++19305",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:07:06","192.168.20.133","49940","6252","74.125.250.147","19305",
"Established","Internet","InHost",,,,"192.168.20.133++49884++142.251.0.188++5228",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:05:16","192.168.20.133","49884","6252","142.251.0.188","5228",
"Established","Internet","InHost",,,,"192.168.20.133++49854++20.198.162.76++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:52","192.168.20.133","49854","10904","20.198.162.76","443",
"Established","Internet","InHost",,,,"127.0.0.1++49836++127.0.0.1++49835",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:27","127.0.0.1","49836","12244","127.0.0.1","49835",
"Established","Internet","InHost",,,,"127.0.0.1++49835++127.0.0.1++49836",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:27","127.0.0.1","49835","12244","127.0.0.1","49836",
"Established","Internet","InHost",,,,"127.0.0.1++49831++127.0.0.1++49830",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:25","127.0.0.1","49831","12244","127.0.0.1","49830",
"Established","Internet","InHost",,,,"127.0.0.1++49830++127.0.0.1++49831",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:25","127.0.0.1","49830","12244","127.0.0.1","49831",
"Established","Internet","InHost",,,,"192.168.20.133++49785++104.154.127.126++4070",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:10","192.168.20.133","49785","11688","104.154.127.126","4070",
"Established","Internet","InHost",,,,"192.168.20.133++49779++35.186.224.47++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:10","192.168.20.133","49779","11688","35.186.224.47","443",
"Established","Internet","InHost",,,,"192.168.20.133++49777++35.186.224.42++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:10","192.168.20.133","49777","12600","35.186.224.42","443",
"Listen",,"InHost",,,,"0.0.0.0++49754++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:09","0.0.0.0","49754","11688","0.0.0.0","0",
"Established","Internet","InHost",,,,"192.168.20.133++49745++142.250.78.234++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:05","192.168.20.133","49745","7528","142.250.78.234","443",
"Established","Internet","InHost",,,,"192.168.20.133++49689++20.197.71.89++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:44","192.168.20.133","49689","3472","20.197.71.89","443",
"Established","Internet","InHost",,,,"192.168.20.133++49673++177.54.145.81++443",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:23","192.168.20.133","49673","3520","177.54.145.81","443",
"Listen",,"InHost",,,,"0.0.0.0++49671++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:16","0.0.0.0","49671","896","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:15","0.0.0.0","49668","3264","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","0.0.0.0","49667","1688","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","0.0.0.0","49666","1404","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","0.0.0.0","49665","804","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","0.0.0.0","49664","964","0.0.0.0","0",
"Listen",,"InHost",,,,"127.0.0.1++17600++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:27","127.0.0.1","17600","12244","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++17500++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:25","0.0.0.0","17500","12244","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++8000++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:38:34","0.0.0.0","8000","9008","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++7070++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:16","0.0.0.0","7070","3520","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:42","0.0.0.0","5040","7044","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++2968++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:13","0.0.0.0","2968","14324","0.0.0.0","0",
"Listen",,"InHost",,,,"127.0.0.1++843++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:27","127.0.0.1","843","12244","0.0.0.0","0",
"Listen",,"InHost",,,,"192.168.56.1++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:12","192.168.56.1","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"192.168.20.133++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:22","192.168.20.133","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","0.0.0.0","135","1068","0.0.0.0","0",
